"","subID","condition","Hz","frontal","central","parietal","occipital","ln_Hz","ln_frontal","ln_central","ln_parietal","ln_occipital"
"721","oa13","ec",0.997,41.68644,38.8936,30.88738,29.0495,-0.00300450902029872,3.73017589606621,3.66082971266718,3.43034768624041,3.36900127144584
"722","oa13","ec",1.994,13.14462,13.151,11.06788,10.7417333333333,0.690142671539647,2.57601254943383,2.57649780135983,2.40404721979868,2.3741364664994
"723","oa13","ec",2.991,6.00116,7.3654,6.51012,6.00346666666667,1.09560777964781,1.79195278387491,1.99679335936988,1.87335788923031,1.79233708015652
"724","oa13","ec",3.988,3.41944,5.56626666666667,5.13642,4.52183333333333,1.38328985209959,1.22947679497716,1.71672457188539,1.63635633874514,1.50891751632855
"725","oa13","ec",4.985,2.5453,4.1142,3.88714,3.311,1.6064334034138,0.934248521247932,1.41444440453624,1.35767366871568,1.19725025856511
"726","oa13","ec",5.982,2.27646,3.6439,3.50224,3.17996666666667,1.78875496020776,0.822621604805913,1.29305453665014,1.25340276378271,1.15687071455685
"727","oa13","ec",6.979,2.66872,3.97186666666667,3.52448,3.43873333333333,1.94290564003501,0.981598956713816,1.37923617730798,1.25973290765193,1.2351031865225
"728","oa13","ec",7.976,3.71436,5.8553,4.66638,3.86416666666667,2.07643703265954,1.31220638876617,1.76734723399495,1.54038361048891,1.35174604861537
"729","oa13","ec",8.973,4.66638,8.33896666666667,8.22636,6.08723333333333,2.19422006831592,1.54038361048891,2.12093930781501,2.10734363252678,1.80619368183662
"730","oa13","ec",9.97,13.10774,19.3066,19.47826,14.8496666666667,2.29958058397375,2.57320289542471,2.96044700636472,2.96929897184298,2.69797741830766
"731","oa13","ec",10.967,22.79956,32.6006,36.79054,28.2497333333333,2.39489076377807,3.12674123752857,3.48433069311127,3.60524074691057,3.34108401801987
"732","oa13","ec",11.964,10.2278,17.5883666666667,22.84804,19.5495333333333,2.4819021407677,2.32510950307272,2.86723769864883,3.12886533685592,2.97295141572874
"733","oa13","ec",12.961,5.63614,9.0932,7.54266,7.43116666666667,2.56194484844124,1.7291994340402,2.20752688144305,2.02057490495171,2.00568286748884
"734","oa13","ec",13.958,3.739,5.2223,4.0583,3.83733333333333,2.63605282059496,1.31881819599498,1.65293791787995,1.40076416671445,1.34477768091696
"735","oa13","ec",14.955,3.1754,4.81033333333333,3.08832,2.7096,2.70504569208191,1.15543360866127,1.57076638178583,1.12762725373663,0.996801022521425
"736","oa13","ec",15.952,2.89048,4.79156666666667,3.27598,2.67893333333333,2.76958421321948,1.06142257829833,1.56685742823231,1.18661706096608,0.985418705345534
"737","oa13","ec",16.949,3.51434,5.5681,3.77252,2.88816666666667,2.83020883503592,1.25685174091817,1.71705388264096,1.32774321317,1.06062192943005
"738","oa13","ec",17.946,3.43268,5.55723333333333,3.99134,2.48226666666667,2.88736724887587,1.23334129719766,1.71510038249911,1.38412701411927,0.909172121247495
"739","oa13","ec",18.943,3.62172,4.8367,3.5114,2.86126666666667,2.94143447014614,1.28694905111685,1.576232670003,1.25601481835297,1.05126441722763
"740","oa13","ec",19.94,4.75002,4.8159,3.6697,3.56906666666667,2.99272776453369,1.558148828564,1.57192294367134,1.30010991485606,1.2723041237022
"741","oa13","ec",20.937,7.00406,5.1551,4.01192,3.7312,3.04151792870312,1.94648998092032,1.63998651592287,1.38926992972142,1.31672989773398
"742","oa13","ec",21.934,7.7789,5.47703333333333,3.6973,3.35263333333333,3.08803794433802,2.05141494001924,1.70056359183991,1.30760282353811,1.20974610669778
